english_name,arabic_name,meaning,gender
Abul-yumn,بوليمن,"Father of happiness, happy.",male
Abul-yusr,بليزر,A great Sahabi who participa,male
Abwan,أبون,Abwan is an Arabic name for boys that means one whose face glows (with beauty and health).,male
Abyad,أبيض,A narrator of hadith was so named,male
Abyan,أبين,"Clearer, more distinct, Eloquent",male
Abyaz,بيز,"Bright, Brilliant, White, Pure, Innocent, Masculine form of Baiza",male
Abzari,ابزار,"Seeds, One who sows , seedsman",male
Adaan,أدان,"Happiness, Laughter, Joy and Delight",male
Adab,أدب,"Hope, need. Mannered, Cultured",male
Adalat,أدلة,"Adalat is an indirect Quranic name for boys that means justice, equity, fairness.",male
Adan,أدان,(Garden of) Eden,male
Adar,أدار,"Prince, ruler, noble, exalted",male
Adawi,أداوي,"A grandson of Sayyidina Umer RA, famous for hsi piety and knowledge.",male
Adbul,دبل,Servant of the Most Powerful,male
Adbul-qawi,دبلقو,Servant of the Most Powerful,male
Addal,عَدَّال,"extremely just, extremely fair,Nobel, Precious",male
Addar,أدار,"Prince, ruler, noble, exalted",male
Addul,عدل,"Son of, servant of",male
Adeeb,أديب,"A literary Person, Well-mannered, courteous, polished, man of letters, cultured, civilised.",male
Adeen,أدين,"Adeen (also written as Azeen) is an indirect Quranic name for boys and girls that means obedient, righteous, one who listens to what is said, one who calls the Athaan (call to prayer), ruler, chief. It is derived from the A-DHAL-N Quranic root.",male
Adham,أدهم,"Black Horse, The name of Balkh Ruler and a famous wali: Ibrahim Adham R.A.",male
Adheem,عظيم,The most great,male
Adheen,أظن,"Follower, devotee.",male
Adi,عادي,"A Sahabi of the Prophet of Allah PBUH. And a son of Haatim Taai, a person famous for his in generosity, his full name was Adiyy ibn Haatim.",male
Adib,أديب,"Cultured,Well-mannered, courteous, polished, man of letters.",male
Allam,علام,very knowledgeagble,male
Allama,علامة,"Very learned, Title given to a very learned scholar",male
Allamah,ألمه,"Allamah is an Arabic name for boys and girls that means extremely knowledgeable, endowed with great and rare knowledge.",male
Almaas,ألماس,A diamond,male
Almahdi,المهدي,Guided to the right path,male
Alman,ألمان,"Kind, willing and wiseman",male
Almas,ألماس,Diamond.,male
Almir,المير,Prince,male
Alparslan,البارسلا,Hero-lion,male
Alsafi,الصافي,"Clear, pure, fine",male
Altaaf,ألطاف,Kindness,male
Altaam,التام,Correct,male
Altaf,ألطاف,"Pl. of Lutf, kindness, grace, favour.",male
Altaf-hussain,التفحصن,Kindness of Husain.,male
Altair,الطير,"The flying eagle, also refers to a first magnitude star in the constellation Lyra.",male
Altamash,التمسح,Name of a famous king (Shams-ud-Deen Altamash),male
Altayyib,الطيب,The good one,male
Althaf,التحف,Graceful,male
Altijani,التيجاني,Crowning,male
Altufail,التفعيل,Old Arabic name,male
Altufayl,التفعيل,Old Arabic name,male
Aluf,ألف,"Friendly, Faithful, Devoted",male
Alvand,الفند,"Alvand is a Persian name for boys and girls that means powerful, strong, agile. It is the name of a mountain in Kurdistan (near Hamadan in Iran) and the name of a river near Qasr Shirin in Iran.",male
Alvi,ألفي,Fan of Hazrat Ali (RA),male
Alwan,ألوان,Up high,male
Alwaz,الوز,"Light, brightness.",male
Alyaan,عليان,"High Status, Exalted, Sublime, Superb, Great, Supreme",male
Alyan,ألين,"High Status, Exalted, Sublime and Superb",male
Alyasaa,أليسا,Elisha - a Prophet,male
Amaad,عماد,"Pillar, post, support.",male
Akin,أكن,"Warrior, hero, brave man",male
Aklamash,أقلامش,"Spotless, pure",male
Akmal,أكمل,"More complete, more perfect, Lion.",male
Akmel,أكمل,Complete,male
Aknan,كنا,"Aknan is a direct Quranic name for boys that means shelter, cover, place of retreat. It is derived from the K-N-N root and the word Aknan itself is mentioned in verse 16:81 of the Quran.",male
Akram,أكرم,"More generous, nobler, bountiful.",male
Akrama,عكرمة,Akrama is the Urdu variant of the Arabic name Ikrimah which means female pigeon. For more explanations on the meaning of this name see Ikrimah.,male
Akwan,أكون,Universe and Creation,male
Akyas,أكياس,"Akyas is an Arabic name for boys that means wise, intelligent, discerning.",male
Al-abbas,العباس,"Description of a lion, sahabi name",male
Al-amin,الأمين,An epithet of the Prophet Muhammad (saw),male
Al-burhan,البرهان,The proof.,male
Al-faiz,الفائز,Name of a Fatimid Caliph.,male
Al-hasan,لتي,"Gentle, kind, pleasant, friendly",male
Al-mamoon,المامون,Seventh Abbasid Caliph,male
Al-rafi,الرفع,One of the names of Allah.,male
Al-safi,الصافي,"Clear, pure, fine.",male
Al-siddiq,الصديق,The truthful,male
Al-tahir,الطاهر,Nickname of Abdullah,male
Al-tayyib,الطيب,Nickname of Abdullah,male
Ala-al-din,اللذين,"excellence of religion from Arabic ( Ala) ""excellence, elevation"" combined with (din) ""religion, faith"".",male
Ala-ud-din,العددين,Glory of religion,male
Alaaldin,اللذين,Excellence of faith,male
Alaaudeen,الدين,Excellence of Religion,male
Aladdin,الدين,Nobility of faith,male
Alaleem,الأليم,He who knows all Things,male
Alam,ألم,"World, Universe.",male
Alamat,علامة,"Alamat is an indirect Quranic name for boys (used in Arabic and Urdu) that means sign, symbol, gesture, emblem, landmark, insignia. It is derived from the AIN-L-M (to know) root which is used in many places in the Quran.",male
Alamulhuda,الملحدة,"Banner of guidance, An epithet of the Holy Prophet Muhammad (pbuh)",male
Alamzeb,المذيب,World Beauty.,male
Adeena,أدينا,"Pious, good luck",female
Adeeva,أضيف,"Pleasant, Gentle",female
Aden,أضن,warm person,female
Adena,أدنى,"Noble, adorned",female
Adhara,عذرة,"Arabic name of a starn the constellation Canis Major, meaning 'maidens.'",female
Adiba,أديبة,"Polite, well-mannered, well-bred, courteous,cultured , polished, writer , fem. of Adib.",female
Adifaah,أضيفه,"Acute, Dare, Talented, Smart.",female
Adina,أدينا,"Adina is a Persian name for girls that means weekend, the last day of the week, which in Islamic culture means Friday. It is a variant of Adineh.",female
Adineh,أذينه,"Adineh is a Persian name for girls that means weekend, the last day of the week, which in Islamic culture means Friday, while in others it can mean Saturday or Sunday.",female
Adira,أديرة,"Strong,Mighty",female
Adiva,أضيف,"Pleasant, gentle ,kind person",female
Adla,أدلى,"Just, fair woman,Respected Witness.",female
Adlaa,أدلاء,"Adlaa is an Arabic name for girls that means just, fair, a person who practices justice and fairness.",female
Adlah,أدلة,"Adlah is an Arabic name for girls that means fair, just, a person who practices justice and fairness. It also means one who follows a straight path.",female
Adlea,أدلة,Justice and Fairness,female
Adn,أظن,"Paradise, Jannat ka Bag, Place of Everlasting Bliss",female
Adnanah,عدنانيه,"Adnanah is the feminine form of Adnan and means long-term resident, settler, a person who stays at a place for a long time and makes it her home.",female
Adniyyah,أذنيه,"Adniyyah is an Arabic name for girls that means resident, inhabitant.",female
Adrianna,أدريانا,"Adrianna is a French name that means from Adria, which refers to the area near the Adriatic Sea, which is the sea that is on the east of Italy.",female
Adyan,أديان,"Religions, plural of Din, A nabee was named by this name.",female
Aeni,عَيْنِيّ,"original, pure, true.",female
Afaf,عفاف,"Chaste, virtuous, decent, pure",female
Afana,أفنى,"The forgiver, pardner.",female
Afeefa,عفيفى,Chaste,female
Afeefah,عفيفه,"Pure, chaste, virtuous",female
Afeen,فين,Forgiveness and Forgiving,female
Afeera,عَفِيْرَة,"type of gazelle, In Arab Culture gazelle is used to describe beautiful and strong women",female
Affera,عفرا,"Variant of Arabic Afra, meaning 'pink' or 'reddish'white.'",female
Affra,عفرا,"Variant of Arabic Afra, meaning 'pink' or 'reddish'white.'",female
Afifa,عفيفى,"Neat lady ,pure, chaste, modest, virtuous, honest, righteous, upright, decent , fem. Of Afif",female
Aamad,عماد,"Time, Era, Epoch",male
Aameen,آمين,"Faithful , Trustworthy,",male
Aamer,عامر,Ordering person,male
Aamin,آمين,Safety and Security,male
Aamir,أمير,"Populous, Full, Prosperous, Amply Settled, Civilized. Also Used To Refer To A Prince, Ruler or Leader",male
Aamla,أملا,"Hope, Aspiration",male
Aanil,انيل,"bring to memory, to recall. It also means well-known, famous.",male
Aaqib,عقيب,"Replacement, Follower",male
Aaqif,اقيف,"Devoted to, Dedicated, Focused",male
Aaraf,عارف,Arabic for heights. It is also the name of a chapter of the Quran.,male
Aarib,عريب,"Handsome, healthy.",male
Aarif,أعرف,"Knowing, Aware, Learned, (Intimate knowledge of Allah), The highest position a mystic can attain",male
Aariz,أرز,"Leader, ruler, leader of nation.",male
Aaryan,ارين,Of Utmost strength,male
Aarzam,رزم,"War, battle, quarrel.",male
Aas,اس,Hope.,male
Aasaal,اسال,"Evening Time, Real, Pure",male
Aasal,أصل,"Aasal is a direct Quranic name for boys and girls that means late afternoons, evenings, it is the plural of the Arabic word Aseel (late afternoon, evening). The name Aasal is mentioned three times in the Quran. This name should not be confused with the name Asal, which means honey.",male
Aashif,اشف,"Bold, courageous",male
Aashik,اشيك,Lover,male
Aashiq,عاشق,"Adorer, lover, suitor.",male
Aashiq-ali,شيقل,Adorer of Ali.,male
Aashiq-muhammad,أشيقمهمد,Adorer of the Prophet Muhammad (saw),male
Aashir,أشير,"Living, spending a life.",male
Aasif,آسف,An able minister,male
Aasir,أسير,"Captivating, fascinating.",male
Aati,آتي,Generous,male
Aatif,عطيف,Kind Affectionate,male
Aatik,أطيق,"Pure, Clean, Independent, Free",male
Aatiq,أطيق,"Free, liberated, independent",male
Anjum,أنجم,"Plural of Najm, stars.",female
Anjuman,انجمن,Assembly.,female
Anmar,أنمار,"Anmar is an Arabic name for boys and girls that means tigers, it is the plural of namr (tiger).",female
Anmol,نمل,Precious,female
Ann,أن,"It's a Quranic name for girls meaning time, occasion, now, this moment. It is derived from the A-Y-N root .",female
Annali,أنال,"Annali is a Turkish name for girls that means kind, compassionate, gentle and sweet. Its made up of Ana (mother) and the suffix li (like), this the literal meaning is mother-like, motherly.",female
Annam,أنام,Gods Blessing,female
Annissa,أنيسة,"charming ,friendly ,Variant of Arabic Anisa,",female
Annum,أنعم,"Allah's blessing, A blessing",female
Anoosh,أنوش,Delighted.,female
Anoosha,أنوش,"Delighted, happy",female
Anooshah,انوشه,"Happy, fortunate",female
Anoud,عنود,"Brave, Strong and Courageous",female
Anoush,أنوش,Eternal.,female
Anousha,أنوش,"Sweet, joy, fortunate",female
Anqa,أنقى,"A woman with a long neck, an imaginary bird.",female
Ansab,أنسب,"Ansab is an Arabic name for boys and girls that means more appropriate, better, worthier. It is derived from the N-S-B root which is used in the Quran. This name should NOT be pronounced as an-saab, because this changes the meaning to idols, statues worshiped by pagans, which is not a good meaning.",female
Ansam,أنسام,Ansam is an Arabic name for boys and girls that means gentle breezes. It is the plural of Naseem.,female
Ansara,أنصار,Helper,female
Ansha,أنشا,"Ansha is an Arabic name for girls that means she created, she started, she began.",female
Ansharah,أنشره,Happiness.,female
Antarah,عنتره,The name of the freed slave of Sulaym.Heroic and a name of an Arab folk hero,female
Anum,أنعم,"Benefit, Blessings and Profit",female
Anumullah,أنملة,"Benefit, Blessings and Profit",female
Anush,أنوش,Anush is an Arabic name for boy and girls that means extremely attractive.,female
Anusha,أنشا,"Anusha is a Persian name for girls that means creed, school of thought.",female
Anushah,أنشأه,"Anushah is a Persian name for boys and girls that means everlasting, immortal, firm and strong. Anushah can also mean happiness and good fortune. Anushah is a variant of the name Anusheh.",female
Anusheh,أنصحه,"Anusheh is a Persian name for boys and girls that means everlasting, immortal, firm and strong. Anusheh can also mean happiness and good fortune.",female
Anwaar,أنوار,"Light, Glow, Gleam, Luminous",female
Anwar,أنوار,"More bright, more brilliant, more radiant, more luminous.",female
Ajaar,أجار,Arabic for rewards.,male
Ajab,أجاب,"Ajab is an Arabic name for boys and girls that means amazement, wonder.",male
Ajam,أجم,"Ajam is an Arabic name for boys and girls that means non-Arab, foreign. It is used especially to mean Persian. It also means date seed.",male
Ajaweed,أجاويد,"Ajaweed is an Arabic name for boys and girls that means generosity, acts of kindness.",male
Ajawid,أجاويد,"Pl. of Jawwad, open-handed, generous, noble.",male
Ajeeb,أجيب,Wonderful.,male
Ajeel,أجل,"Ajeel is an indirect Quranic name for boys that means fast, quick. It is derived from the AIN-J-L root which is used in many places in the Quran.",male
Ajer,أجر,Reward,male
Ajiad,أجياد,"Noble, Admirable and Praiseworthy",male
Ajib,أجيب,Wonderful,male
Ajjaj,عجاج,"Orbit, eye socket, Orgument, debate, Ibn-Yusuf the well-known ruler of Iraq had this name.",male
Ajlah,أجله,"Bald, hairless, Ibn Abdullah, a narrator of Hadith had this name.",male
Ajmal,أجمل,"More beautiful, extremely beautiful, Holy.",male
Ajmar,جمر,Fastest.,male
Ajmel,أجمل,Most beautiful,male
Ajmi,أجمع,"Ajmi is an Arabic name for boys that means uniquely intelligent, extremely wise.",male
Ajrada,أجرد,"Al-Ameeh, was a great worshipper who worshipped longn the night somnetimes right upto daun (AN)",male
Ajtaba,جتب,"Favourite, selected.",male
Ajwaad,أجواد,"Intelligent, Talented,",male
Ajwad,أجود,"Better, more generous, Adjective of Jawad.",male
Ajwed,أجود,Most generous,male
Akbar,أكبر,"Greater, bigger, greatest, most pious, honourable.",male
Akber,أكبر,"Great, The greatest",male
Akdas,أقدس,Most holy book,male
Akeek,عقيق,Valuable stone,male
Akeem,أقيم,"Wise, Intelligent",male
Akeeq,عقيق,Valuable stone,male
Akfah,اكفه,Akfah is an Arabic name for boys that means black (the color).,male
Akfash,قفاش,"There have been several men of this name, there were three grammarians of this name in the 8th / 9th century.",male
Akhal,أكحل,Eyes with kohl,male
Abisali,بيصلي,Warrior in Islam,male
Abiyyi,أبي,"One that doesn't want to be insulted, High self-esteem",male
Abkar,أبقار,Early and On Time,male
Ablagh,أبلغ,"Arabic for most mature, most eloquent.",male
Ablaj,أبلج,"Ablaj is a non-Quranic name for boys that means brilliant, lucid, clear, one who has a pleasant complexion.",male
Abnus,آبنوس,"Abnus is a Persian name for boys and girls that means ebony, which is a dense and expensive type of wood that can sink in water, used for making musical instruments. It is not a Quranic name but Muslims can use it since it doesnt have a bad meaning.",male
Abood,عبود,Worship,male
Abou,أبو,Abou is an Arabic name for boys that means beauty and glow of the face. This name shouldnt be confused with the word Abu which means father of. In Arabic they are two different words with different roots and spellings.,male
Abqar,أبقار,"Abqar is a non-Quranic Arabic name for boys that means extraordinary, supernatural, amazing.",male
Abraar,أبرار,Good deeds,male
Abrad,أبرد,"Hail, Mail, Ibn Ashras a Narrator of Hadith had this name.",male
Abraha,أبرهة,Abrahaأبرهة,male
Abraj,أَبْرَج,"Abraj is an indirect Quranic name for boys that means beautiful-eyed, one who has large black eyes.",male
Abram,أبرام,"Need, strong grip.",male
Abraq,أبرق,Light and Radiance,male
Abrar,أبرار,"Obedience, Pious, Righteous, Gifts, Plural of Barr, Peity",male
Abrash,أبراش,"Spotted, speckled, A master of penmanship during the early Abbasid period had this name.",male
Abraz,أبرز,"Show, unfolded divulged mystery.",male
Abreeq,أبريق,Glittering sword.,male
Absaar,أبصار,"Absaar is a direct Quranic name for boys and girls that means vision, insight, keenness, perception, intellect, intelligence, discernment. BLANKENTER And remember Our servants, Abraham, Isaac and Jacob those of strength and [religious]. (Quran 38:45)",male
Absar,أبصر,"Vision, Sight, Plural of Basar",male
Absat,أبسط,"Wide, vast, spacious.",male
Absham,بشم,A tree which has scent.,male
Absi,عبسي,"Probably from Abasa to frown, this was the name of Abdullah Ibn-Musa, a scholar and reciter of the Quran, died 828/829",male
Abteen,أبطن,Father of Faridoon (a king).,male
Abthi,عبثي,"One who lives in Abtah, a place near Makkah",male
Abu-al-khayr,أبوالخير,One who does good,male
Abu-ayyub,أبيب,A well-known Sahabi,male
Abu-bakr,أبوبكر,"owner of a hundred camels, The companion of Prophet Muhammad, Name of the first Khalifa of Islam.",male
Abu-darda,بدردا,Famous Sahabi of Rasoolullah,male
Aireen,أيرين,"Aireen is a Kurdish name for girls that means fiery (made of fire), passionate, and is the name of a mountain in Kurdistan, also known as Agreen.",female
Aisana,أسنى,"Aisana is a Turkish-Persian name for girls made up of Ay (moon in Turkish), san (characterization suffix in Persian) and a (name-building suffix in Persian), creating the mean of one who is like the moon. The figurative meaning of the name is beautiful, radiant.",female
Aisha,عائشة,"Alive, living, happily living, well-living, prosperous, Well-off Youngest wife of the Prophet Muhammad (pbuh)",female
Aisooda,أسودا,"Aisooda is a Turkish name for girls that means moon in water, figuratively it means beautiful and fresh.",female
Aiya,أية,"Miracle, verses in the Qur'an",female
Aiyla,أيلة,Moonlight,female
Ajaar,أجار,Arabic for rewards.,female
Ajab,أجاب,"Ajab is an Arabic name for boys and girls that means amazement, wonder.",female
Ajam,أجم,"Ajam is an Arabic name for boys and girls that means non-Arab, foreign. It is used especially to mean Persian. It also means date seed.",female
Ajaweed,أجاويد,"Ajaweed is an Arabic name for boys and girls that means generosity, acts of kindness.",female
Ajeeb,أجيب,Wonderful.,female
Ajeebah,أجيبه,"She was the daughter of Muhammad al-Baqadari, and was a narrator of Hadith.",female
Ajia,أجي,"Superb, Wonderful.",female
Ajlal,اجلال,"Beautiful, stubborn, young princess",female
Ajrada,أجرد,"Al-Ameeh, was a great worshipper who worshipped longn the night somnetimes right upto daun (AN)",female
Ajradah,جراده,"Al-Ameeh, was a great worshipper who worshipped long in the night sometimes right up to dawn (A.N).",female
Ajwa,اجوا,Name of a date in Saudia Arabia Tree planted by Holy Prohpet PBUH,female
Akbari,أكبر,Big.,female
Akhtar,أخطر,"A Star, good luck., good man",female
Akhtari,أختر,Wife Of Prophet...,female
Akia,عكا,Sister,female
Akida,أكيدة,"Certain, firm",female
Akleema,أقليمى,Beautiful One of the daughters of Adam AS,female
Aklima,أقليمى,The first step,female
Akshiti,كشتي,Victorious peace,female
Akwan,أكون,Universe and Creation,female
Alalah,الله,A flower,female
Alaleh,الله,Alaleh is a Persian name for girls that refers to a group of flowers known as ranunculus in English.,female
Alam,ألم,"World, Universe.",female
Alamafruz,المفرز,Light and Radiance,female
Akhas,أخص,"Bin Khalfah was so named, he was a narrator of Hadith.",male
Akhdan,أخدان,Best Friend,male
Akhfash,خفاش,"There have been several men of this name, there were grammarians of this name in the 8th / 9th century.",male
Akhil,أخيل,World,male
Akhlaak,أخلاق,"Good qualities, Manners",male
Akhlaaq,أخلاق,"Good qualities, Manners",male
Akhlaas,أخلاص,"Sincerity, Purity, Love",male
Akhlak,أخلاق,"Good qualities, Manners",male
Akhlaq,أخلاق,"Behavior, Good manners, morals.",male
Akhlas,أخلص,"Sincerity, Purity, Love",male
Akhmad,أخمد,"Akhmad is an indirect Quranic name for boys that means silent, calm, tranquil. It is derived from the KH-M-D root which is used in the Quran. Akhmad can also be a misspelling or stylized spelling of the Arabic name Ahmad.",male
Akhmas,أخماس,"Brave, valiant.",male
Akhram,خرم,"Clever, active.",male
Akhtab,أخطب,"Akhtab is an Arabic name for boys that means falcon (a type of bird of prey). It can also means one who speaks much, one who gives many speeches.",male
Akhtaf,أخطف,"Akhtaf is an indirect Quranic name for boys that means slender, slim. It is derived from the KH-T16-F root which is used in the Quran.",male
Akhtar,أخطر,"A Star, good luck., good man",male
Akhtar-zamir,أخترزمر,One possessing an enlightened mind,male
Akhter,أختر,"A star, Good fortune, Good luck",male
Akhund,خوند,Honorific title of someone learned in religious matters.,male
Akhundzada,خندزدا,Son of a person learned in religious matters,male
Akhyar,أخيار,"Good, Better, Best, Excellent, An epithet of the Holy Prophet Muhammad (pbuh)",male
Akhzam,أخزم,"Akhzam is an Arabic name for boys that means serpent, snake. There is a companion of the Prophet, peace and blessings of Allah upon him and his companions, whose name is Abu Akhzam.",male
Akhzar,خزر,Greenery.,male
Akhzer,خزر,Green,male
Aki,أقع,"Arabic for textile merchant, one who sells woven cotton.",male
Akib,عقيب,Follower,male
Akida,أكيدة,"Certain, firm",male
Akif,كيف,"Devoted to, dedicated to, persevering in, busily engaged,Focused, attached, intent.",male
Akili,عقيلي,Wisdom,male
Akim,أقيم,god will establish,male
Ansam,أنسام,Ansam is an Arabic name for boys and girls that means gentle breezes. It is the plural of Naseem.,male
Ansar,أنصار,"Friends, Supporters, Followers, Companions of the Holy Prophet Muhammad (pbuh) who supported him in Madinah at the time of the Migration in 622 AD,The first people who converted to the religion of Islam were the people of Ansar",male
Ansari,أنصاري,"Relation through ancestry to an Ansar, the people who helped the Prophet when he migrated to Madinah.",male
Anshar,أنشر,Prophet's Muhammad companion from Madinah,male
Antar,عنتر,"name of Arab hero of chivalry, Brave in the battle field",male
Antarah,عنتره,The name of the freed slave of Sulaym.Heroic and a name of an Arab folk hero,male
Antony,أنتوني,Antonyos,male
Anum,أنعم,"Benefit, Blessings and Profit",male
Anumullah,أنملة,"Benefit, Blessings and Profit",male
Anush,أنوش,Anush is an Arabic name for boy and girls that means extremely attractive.,male
Anushah,أنشأه,"Anushah is a Persian name for boys and girls that means everlasting, immortal, firm and strong. Anushah can also mean happiness and good fortune. Anushah is a variant of the name Anusheh.",male
Anusheh,أنصحه,"Anusheh is a Persian name for boys and girls that means everlasting, immortal, firm and strong. Anusheh can also mean happiness and good fortune.",male
Anwaar,أنوار,"Light, Glow, Gleam, Luminous",male
Anwaaraddin,نوردن,Leader,male
Anwar,أنوار,"More bright, more brilliant, more radiant, more luminous.",male
Anwari,أنوار,Light and Radiance,male
Anwarul-karim,نورلكرم,Lights of the Beneficent (Allah).,male
Anwarus-sadat,نورسسداة,"Most brilliant of the Princes, Sadat (Plural of Syed = Honorific title of the descendnats of the Holy Prophet Muhammad (pbuh))",male
Anwer,أنور,"bright, Variant transcription of ANWAR",male
Anzar,أنظر,Angel of paradise,male
Aqdas,أقدس,"Most holy, more or most sacred.",male
Aqeeb,عقيب,Aqeeb is an indirect Quranic name for boys that means follower. It is derived from the AIN-Q-B root which is used in many places in the Quran.,male
Aqeed,عقيد,"Aqeed is an indirect Quranic name for boys that means one who has given a promise, one who is under oath. It is derived from the AIN-Q-D Quranic root.",male
Aqeek,عقيق,Valuable stone,male
Aqeeq,عقيق,Valuable stone,male
Aqib,عقيب,"Successor, an epithet of the Prophet Muhammad.",male
Aqif,أقف,"Devoted to, Dedicated, Focused",male
Aqiq,عقيق,"Aqiq is an Arabic, Persian and Urdu name for boys and girls that means agate, which is a type of precious stone. Aqiq is also the name of various places in the Arabia, including a place near the city of Medina in Saudi Arabia.",male
Aql,أقل,"Intelligent, Educated and Intellectual",male
Aqlan,عقلان,"Aqlan is an Arabic name for boys that means intelligent, keen.",male
Abd-al,أبدل,Servant (of Allah),male
Abd-al-ala,عبداللة,Slave of the High,male
Abd-khayr,بذخير,Khayr is all kinds of goodness and happiness. This was the name of Ibn-Yazid Al-Khaywani who fought with Sayyidina Ali RA.,male
Abda,أبدا,"Brave, Strong and Courageous",male
Abdaal,أبدال,"Devotee, Religious person",male
Abdah,عبده,"Nick name of Abdur - Rehman bin Sulayman the father of Muhammad Ibn Abdur Rahman, the genealogist.",male
Abdal,أبدل,Servant (of Allah),male
Abdallah,عبدالله,Slave of God,male
Abdan,أبدا,"Is derived from abd, a man, ibn Abi Harb had this name and al-jahiz wrote letters to him",male
Abdel,عبدال,Servant (of allah),male
Abdud-daar,بدوددر,Servant of the Depriver,male
Abduh,عبده,Allahs slave,male
Abdul,عبدال,"Servant of Allah, One who is Devoted to Allah SubhanaWatala",male
Abdun-naafe,بدونناف,Servant of the Giver of Gains,male
Abdun-nasir,بدونناسر,Servant of the Helper.,male
Abdun-noor,بدوننر,Servant of the Light.,male
Abdur,عبدر,"Servant of Allah, One who is Devoted to Allah SubhanaWatala",male
Abdus,عبدوس,Name of the narrator of one of the hadith,male
Abdut-tawwab,أبدتتوب,Servant of the most forgiving,male
Abduz-zahir,عبدززهر,Servant of the Overt,male
Abedin,عابدين,Worshippers,male
Abeel,أبيل,Healthy,male
Abhaj,أبهج,"Abhaj is an indirect Quranic name for boys that means more successful, more brilliant, better. It is derived from the B-H-J root which is used in a number of places in the Quran.",male
Abhar,أبحر,"Arabic for most brilliant, most lucid, most renowned.",male
Abi,أبي,"High Status, Exalted, Sublime and Superb",male
Abidain,أبيضين,"Abidain is an Arabic name for boys that means worshipers, devoted servants of God. It is a muthanna plural of Aabid, literally meaning two worshipers, two devoted servants of god.",male
Abideen,أبيضين,Servant of Allah | Worshiper of Allah,male
Abidin,عابدين,"Pl. of Abid. i.e. worshippers, adorers, A popular name among Muslims",male
Abinus,أبنوس,Abinus is an Urdu variant of the Persian name Abnus. Both are acceptable.,male
Abir,عَبِيْر,"perfume, Aroma, Strong, saffron, fragrance.",male
Amjaad,أمجاد,"Pl. of majd, glory, honour.",male
Amjad,أمجاد,"Most glorious, most distinguished, more illustrious, most venerable, most noble.",male
Amlas,أملس,"Amlas is an Arabic name for boys and girls that means soft, delicate, smooth. It can also mean innocent, blameless, one who has a spotless conscience.",male
Ammaar,عمار,"One with strong Imaan Also a Sahabi , one of the early muslims, son of Yasir and Sumaya Rad",male
Ammam,أمام,Leader,male
Amman,عمان,"Amman is an Arabic name for boys and girls that means resident, citizen, one who stays in a place for a long time,",male
Ammar,عمار,"Virtuous, pious, devout, religious, tolerant.",male
Ammuni,أمني,"Ammuni is an Arabic name for boys and girls that means safe, away from harm. It also means one who trusts others and feels safe in their presence.",male
Amnan,أمنا,Safe and Secure,male
Amooz,موز,"Amooz is a Persian name for boys that means teacher, instructor, to learn. It is often used as a suffix to other names, such as Danesh Amooz (teacher of knowledge, source of wisdom), but it can also be used alone as a name.",male
